category,title,name,size_chart,size_fit,size_fit,material_care,specification,price,product_links
Home/Accessories/Men Accessories/Sunglasses/Polaroid Sunglasses>More By Polaroid,Polaroid,Men Wayfarer Sunglasses PLD 1016/S MY7 50JB,,Lens width: 50 mm,Lens width: 50 mm,"Plastic
Remove dust and grime by gently wiping the lens with a cloth","Type: Wayfarer Sunglasses, Lens Colour: Grey, Feature: Polarised Lens, Style: Full Rim, Face Shape: Oval, Case: Soft Pouch, Warranty: 1 year",Rs. 3600,https://www.myntra.com/sunglasses/polaroid/polaroid-men-wayfarer-sunglasses-pld-1016s-my7-50jb/2045639/buy
Home/Clothing/Women Clothing/Shrug/Chemistry Shrug>More By Chemistry,Chemistry,Peach-Coloured Printed Longline Tie-Up Shrug,,The model (height 5'8'') is wearing a size S,The model (height 5'8'') is wearing a size S,"Polyester
Machine-wash","Fabric: Polyester, Pattern: Printed, Sleeve Length: Long Sleeves, Occasion: Casual, Length: Longline, Main Trend: Floral Print, Wash Care: Machine Wash, Hemline: Straight",Rs. 1499,https://www.myntra.com/shrug/chemistry/chemistry-peach-coloured-printed-longline-tie-up-shrug/2426129/buy
Home/Clothing/Women Clothing/Kurta Sets/IMARA Kurta Sets>More By IMARA,IMARA,Women Peach-Coloured & White Yoke Design Kurta with Trousers & Dupatta,,"The model (height 5'8"") is wearing a size S","The model (height 5'8"") is wearing a size S","Kurta fabric: 80% viscose, 20% polyester
Bottom fabric: 80% viscose, 20% polyester
Dupatta fabric: poly chiffon
Dry-clean","Sleeve Length: Three-Quarter Sleeves, Top Shape: Straight, Top Type: Kurta, Bottom Type: Trousers, Dupatta: With Dupatta, Top Pattern: Yoke Design, Top Design Styling: Regular, Top Hemline: Straight",Rs. 3999,https://www.myntra.com/kurta-sets/imara/imara-women-peach-coloured--white-yoke-design-kurta-with-trousers--dupatta/10306583/buy
Home/Personal Care/Women Personal Care/Shampoo And Conditioner/TRESemme Shampoo And Conditioner>More By TRESemme,TRESemme,Women Keratin Smooth Shampoo 1l,,1 litre,1 litre,,"Concern: Daily Use, Hair Type: Regular, Type: Shampoo",Rs. 800,https://www.myntra.com/shampoo-and-conditioner/tresemme/tresemme-women-keratin-smooth-shampoo-1l/8667337/buy
Home/Clothing/Women Clothing/Kurta Sets/Taavi Kurta Sets>More By Taavi,Taavi,Women Green and Cream-Colored Shibori Hand Tie & Dye Technique Straight Sustainable Kurta Set,"XS, S, M, L, XL","The model (height 5'8"") is wearing a size XS","The model (height 5'8"") is wearing a size XS","100% cotton
Hand-wash cold, Wash dark colours separately","Sleeve Length: Short Sleeves, Top Shape: Straight, Top Type: Kurta, Bottom Type: Trousers, Top Pattern: Dyed, Top Design Styling: Regular, Top Hemline: Straight, Top Length: Calf Length",Rs. 2694,https://www.myntra.com/kurta-sets/taavi/taavi-women-green-and-cream-colored-shibori-hand-tie--dye-technique-straight-kurta-set/9642289/buy
Home/Clothing/Women Clothing/Kurta Sets/Anouk Kurta Sets>More By Anouk,Anouk,Women Maroon & Beige Printed Kurta with Churidar & Dupatta,"XS, S, M, L, XL, XXL","The model (height 5'8"") is wearing a size S","The model (height 5'8"") is wearing a size S","Kurta fabric: polyester
Bottom fabric: poly chiffon
Dupatta fabric: poly crepe
Machine-wash","Sleeve Length: Three-Quarter Sleeves, Top Shape: Straight, Top Type: Kurta, Bottom Type: Churidar, Dupatta: With Dupatta, Top Pattern: Printed, Top Design Styling: Regular, Top Hemline: Straight",Rs. 2239,https://www.myntra.com/kurta-sets/anouk/anouk-women-maroon--beige-printed-kurta-with-churidar--dupatta/2473994/buy
Home/Home Furnishing/Unisex Home Furnishing/Lamps Lanterns And Lamp Shades/VarEesha Lamps Lanterns And Lamp Shades>More By VarEesha,VarEesha,Red Printed Terracotta Tea Light Diya Lantern Set With Hanging Option,,"Dimensions: 
Lantern 1 :10.16 cm x 10.16 cm x 10.16 cm
Lantern 2 : 12.7 cm x 12.7 cm x 15.24 cm","Dimensions: 
Lantern 1 :10.16 cm x 10.16 cm x 10.16 cm
Lantern 2 : 12.7 cm x 12.7 cm x 15.24 cm","Material - Terracotta
Care - Wipe gently without scrubbing","Type: Lantern, Utility: Ceiling, Shape: Cylinder",Rs. 1429,https://www.myntra.com/lamps-lanterns-and-lamp-shades/vareesha/vareesha-red-printed-hanging-ceiling-lantern/6960982/buy
Home/Clothing/Unisex Kids Clothing/Sweaters/CHUTPUT Sweaters>More By CHUTPUT,CHUTPUT,Kids Pack of 2 Self-Design Cardigan,"0-3M, 3-6M, 6-12M, 1-2Y, 2-3Y","Wool blend
Hand-wash","Wool blend
Hand-wash",,"Fabric: Wool, Pattern: Self Design, Sleeve Length: Sleeveless, Neck: Round Neck, Occasion: Casual, Closure: Button, Type: Cardigan, Print or Pattern Type: Cable Knit",Rs. 1250,https://www.myntra.com/sweaters/chutput/chutput-kids-pack-of-2-self-design-cardigan/10178339/buy
Home/Clothing/Men Clothing/Sweaters/Roadster Sweaters>More By Roadster,Roadster,Men Blue Patterned Sweater,,The model (height 6') is wearing a size M,The model (height 6') is wearing a size M,"Cotton
Machine-wash","Fabric: Cotton, Pattern: Self Design, Sleeve Length: Long Sleeves, Neck: Round Neck, Occasion: Casual, Type: Pullover, Wash Care: Machine Wash, Hemline: Ribbed",Rs. 1499,https://www.myntra.com/sweaters/roadster/roadster-men-blue-patterned-sweater/1317670/buy
Home/Clothing/Women Clothing/Tights/Nike Tights>More By Nike,Nike,Women Black Solid YOGA WRAP 7/8 Training Tights,,The model (height 5'8) is wearing a size S,The model (height 5'8) is wearing a size S,"83% polyester, 17% elastane
Machine Wash","Fabric: Polyester, Fabric 2: Elastane, Transparency: Opaque, Pattern: Solid, Wash Care: Machine Wash",Rs. 2995,https://www.myntra.com/tights/nike/nike-women-black-solid-yoga-wrap-78-training-tights/11127396/buy
Home/Clothing/Women Clothing/Kurta Sets/Inddus Kurta Sets>More By Inddus,Inddus,Pink & White Silk Blend Embroidered Kurta Sharara Dupatta Set,"S, M, L, XL, XXL","The model (height 5'8"") is wearing a size S","The model (height 5'8"") is wearing a size S","Kurta fabric: silk blend
Bottom fabric: silk blend
Dupatta fabric: net
Dry-clean","Sleeve Length: Three-Quarter Sleeves, Top Shape: Straight, Top Type: Kurta, Bottom Type: Sharara, Dupatta: With Dupatta, Top Pattern: Embroidered, Top Design Styling: Regular, Top Hemline: Straight",Rs. 3104,https://www.myntra.com/kurta-sets/inddus/inddus-pink--white-silk-blend-embroidered-kurta-sharara-dupatta-set/11434638/buy
Home/Clothing/Men Clothing/Track Pants/Tinted Track Pants>More By Tinted,Tinted,Men Black Solid Slim Fit Joggers,"M, L, XL, XXL","Slim Fit
The model (height 6') is wearing a size M","Slim Fit
The model (height 6') is wearing a size M","Cotton
Machine wash","Fabric: Cotton, Fit: Slim Fit, Occasion: Casual, Type: Regular, Wash Care: Machine Wash, Length: Regular, Number of Pockets: 3",Rs. 932,https://www.myntra.com/track-pants/tinted/tinted-men-black-solid-slim-fit-joggers/7742079/buy
Home/Home Furnishing/Unisex Home Furnishing/Photo Frames/RANDOM Photo Frames>More By RANDOM,RANDOM,Set of 3 Gold & Brown Table Top Photo Frames,Onesize,"Two piece-10.16 cm x 15.24cm
One piece- 15.24cm x 20.32cm","Two piece-10.16 cm x 15.24cm
One piece- 15.24cm x 20.32cm","Acrylic
Clean it with soft cotton cloth or soft brush","Frame Material: Acrylic, Number of Photos: 2 to 4",Rs. 550,https://www.myntra.com/photo-frames/random/random-set-of-3-gold--brown-table-top-photo-frames/11035158/buy
Home/Clothing/Boys Clothing/Sweaters/Tommy Hilfiger Sweaters>More By Tommy Hilfiger,Tommy Hilfiger,Boys White Solid Sweater,,"Cotton
Dry-clean","Cotton
Dry-clean",,"Fabric: Cotton, Pattern: Solid, Sleeve Length: Long Sleeves, Neck: Mock Collar, Occasion: Casual, Closure: Zip, Type: Front-Open, Print or Pattern Type: Solid",Rs. 3699,https://www.myntra.com/sweaters/tommy-hilfiger/tommy-hilfiger-boys-white-solid-sweater/10288527/buy
Home/Accessories/Unisex Accessories/Sunglasses/Carrera Sunglasses>More By Carrera,Carrera,Unisex Square Sunglasses 133/S TI7 579O,,Lens width: 5.5 cm,Lens width: 5.5 cm,"Plastic and Metal
Remove dust and grime by gently wiping the lens with a cloth","Type: Square Sunglasses, Lens Colour: Grey, Feature: UV Protected Lens, Style: Full Rim, Frame Colour: Black, Face Shape: Oval, Case: Hard Case, Warranty: 1 year",Rs. 8300,https://www.myntra.com/sunglasses/carrera/carrera-unisex-square-sunglasses-133s-ti7-579o/2045862/buy
Home/Personal Care/Men Personal Care/Perfume And Body Mist/Coach Perfume And Body Mist>More By Coach,Coach,COACH Men New York Platinum Eau de Parfum 60 ml,"60ML
Rs. 4027, 100ML
Rs. 5400",60 ml,60 ml,,"Fragrance: Woody, Strength: Mild, Type: Perfume",Rs. 4027,https://www.myntra.com/perfume-and-body-mist/coach/coach-men-new-york-platinum-eau-de-parfum-60-ml/8975417/buy
Home/Clothing/Women Clothing/Tunics/Fabindia Tunics>More By Fabindia,Fabindia,Off-White & Black Printed Tunic,,The model (height 5'8'') is wearing a size S,The model (height 5'8'') is wearing a size S,"Cotton
Machine-wash","Fabric: Cotton, Pattern: Printed, Neck: Round Neck, Sleeve Length: Sleeveless, Occasion: Ethnic, Main Trend: Geometric Print, Wash Care: Machine Wash",Rs. 1490,https://www.myntra.com/tunics/fabindia/fabindia-off-white--black-printed-tunic/4268652/buy
Home/Clothing/Men Clothing/Track Pants/HRX By Hrithik Roshan Track Pants>More By HRX By Hrithik Roshan,HRX by Hrithik Roshan,Men Charcoal Grey Straight Fit Joggers,"XS, S, M, L, XL, XXL","Straight fit
The model (height 6') is wearing a size M","Straight fit
The model (height 6') is wearing a size M","95% polyester, 5% elastane
Machine-wash","Fabric: Polyester, Fit: Straight Fit, Fabric 2: Elastane, Occasion: Casual, Type: Joggers, Wash Care: Machine Wash, Length: Regular",Rs. 989,https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-charcoal-grey-straight-fit-joggers/2262586/buy
Home/Home Furnishing/Unisex Home Furnishing/Lamps Lanterns And Lamp Shades/Homesake Lamps Lanterns And Lamp Shades>More By Homesake,Homesake,Black Solid Handcrafted Wall Lamp,,Dimensions:19cm x 60cm x 28cm,Dimensions:19cm x 60cm x 28cm,"Metal
Wipe with a clean, dry cloth to remove dust","Material: Metal, Type: Lamp, Utility: Wall, Add-Ons: Bulb, Bulb Holder Type: E27, Shape: Frustum",Rs. 3750,https://www.myntra.com/lamps-lanterns-and-lamp-shades/homesake/homesake-black-solid-handcrafted-wall-lamp/10621610/buy
Home/Clothing/Men Clothing/Boxers/Joven Boxers>More By Joven,Joven,Mens Blue Printed Boxer Shorts JB1K-BU01,"M, L, XL","Pure Cotton
Machine Wash","Pure Cotton
Machine Wash",,"Fabric: Pure Cotton, Pattern: Printed, Waistband: Inner Elastic, Wash Care: Machine Wash, Knit or Woven: Knitted",Rs. 281,https://www.myntra.com/boxers/joven/joven-mens-blue-printed-boxer-shorts-jb1k-bu01/10297365/buy
Home/Clothing/Boys Clothing/Sweaters/Next Sweaters>More By Next,next,Boys Grey Striped Sweater,,"100% Cotton
Machine-wash","100% Cotton
Machine-wash",,"Fabric: Cotton, Pattern: Striped, Sleeve Length: Long Sleeves, Neck: Mock Collar, Occasion: Casual, Closure: Zip, Type: Pullover, Print or Pattern Type: Striped",Rs. 2500,https://www.myntra.com/sweaters/next/next-boys-grey-striped-sweater/10917248/buy
Home/Clothing/Women Clothing/Sweaters/Roadster Sweaters>More By Roadster,Roadster,Women Pink Self Design Sweater,,"The model (height 5'8"") is wearing a size S","The model (height 5'8"") is wearing a size S","Acrylic
Machine-wash","Fabric: Acrylic, Pattern: Self Design, Sleeve Length: Long Sleeves, Neck: Round Neck, Occasion: Casual, Type: Pullover, Print or Pattern Type: Cable Knit, Wash Care: Machine Wash",Rs. 1699,https://www.myntra.com/sweaters/roadster/roadster-women-pink-self-design-sweater/9478825/buy
Home/Clothing/Men Clothing/Kurta Sets/DEYANN Kurta Sets>More By DEYANN,DEYANN,Men Brown & Black Printed Dupion Silk Kurta with Patiala,"S, M, L, XL, XXL, 3XL",The model (height 6') is wearing a size M,The model (height 6') is wearing a size M,"Top fabric: Dupion Silk
Bottom fabric: Dupion Silk
Dry-clean","Sleeve Length: Long Sleeves, Top Shape: Straight, Top Type: Kurta, Bottom Type: Patiala, Top Pattern: Printed, Top Design Styling: Regular, Top Hemline: Straight, Top Length: Knee Length",Rs. 2495,https://www.myntra.com/kurta-sets/deyann/deyann-men-brown--black-printed-dupion-silk-kurta-with-patiala/10590140/buy
